127.0.0.1 - - [22/Oct/2018:17:43:21 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:43:26 +0900] "GET /WebProj5/ HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:43:56 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=B62B0E22897C45998D6878858188E35C HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:01 +0900] "GET /WebProj5/WelcomeAction HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:06 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:11 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:15 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:20 +0900] "GET /WebProj5/TestAction.action;jsessionid=B62B0E22897C45998D6878858188E35C?username=aa&password=aa HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:24 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=B62B0E22897C45998D6878858188E35C HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:29 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:34 +0900] "POST /WebProj5/HelloStrutsAction.action;jsessionid=B62B0E22897C45998D6878858188E35C HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:41 +0900] "GET /WebProj5/WelcomeAction HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:44:44 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:45:50 +0900] "POST /WebProj5/InquiryAction.action;jsessionid=B62B0E22897C45998D6878858188E35C HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:45:53 +0900] "GET /WebProj5/WelcomeAction HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:45:56 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:46:01 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:46:06 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:46:53 +0900] "GET /WebProj5/TestAction.action;jsessionid=B62B0E22897C45998D6878858188E35C?username=dd&password=dd HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:46:56 +0900] "GET /WebProj5/WelcomeAction HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:46:58 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 350
